Temperature (K),Resistance (Ω),This is the generic calibration for the RTD on the 4 Head only.
320,1072.944896,
315,1073.056927,
305,1073.292014,
300,1073.415438,
295,1073.543047,
290,1073.675058,
285,1073.811704,
280,1073.953233,
275,1074.09991,
270,1074.252023,
265,1074.409878,
260,1074.573808,
255,1074.744171,
250,1074.921351,
245,1075.105767,
240,1075.297872,
235,1075.498156,
230,1075.707154,
225,1075.925445,
220,1076.153666,
215,1076.392507,
210,1076.64273,
205,1076.905167,
200,1077.180734,
195,1077.470443,
190,1077.775411,
185,1078.096875,
180,1078.436212,
175,1078.794955,
170,1079.174818,
165,1079.577721,
160,1080.005827,
155,1080.461577,
150,1080.947738,
145,1081.467458,
140,1082.024338,
135,1082.622509,
130,1083.266741,
125,1083.962567,
120,1084.716445,
115,1085.535954,
110,1086.430056,
105,1087.40942,
100,1088.486852,
99,1088.715416,
98,1088.948651,
97,1089.186702,
96,1089.429719,
95,1089.677859,
94,1089.931287,
93,1090.190172,
92,1090.454694,
91,1090.725038,
90,1091.001399,
89,1091.283979,
88,1091.572992,
87,1091.868659,
86,1092.171212,
85,1092.480896,
84,1092.797965,
83,1093.122686,
82,1093.455341,
81,1093.796223,
80,1094.145641,
79,1094.50392,
78,1094.871402,
77,1095.248445,
76,1095.635428,
75,1096.032749,
74,1096.440828,
73,1096.860108,
72,1097.291056,
71,1097.734167,
70,1098.189962,
69,1098.658994,
68,1099.141848,
67,1099.639144,
66,1100.151541,
65,1100.679736,
64,1101.224472,
63,1101.786538,
62,1102.366774,
61,1102.966076,
60,1103.585399,
59,1104.225763,
58,1104.88826,
57,1105.574056,
56,1106.284404,
55,1107.020645,
54,1107.784221,
53,1108.576684,
52,1109.399704,
51,1110.255083,
50,1111.144768,
49,1112.070866,
48,1113.035657,
47,1114.041619,
46,1115.091444,
45,1116.188066,
44,1117.334683,
43,1118.534796,
42,1119.792236,
41,1121.111212,
40,1122.496354,
39,1123.952768,
38,1125.486101,
37,1127.10261,
36,1128.809253,
35,1130.613783,
34,1132.52487,
33,1134.552239,
32,1136.706834,
31,1139.001019,
30,1141.448812,
29,1144.066173,
28,1146.871352,
27,1149.885316,
26,1153.132273,
25,1156.640321,
24,1160.442267,
23,1164.576653,
22,1169.089069,
21,1174.033836,
20,1179.476205,
19.5,1182.408063,
19,1185.495249,
18.5,1188.75044,
18,1192.18773,
17.5,1195.822834,
17,1199.673331,
16.5,1203.758942,
16,1208.101874,
15.5,1212.727217,
15,1217.663435,
14.5,1222.942946,
14,1228.602836,
13.5,1234.685732,
13,1241.240871,
12.5,1248.32544,
12,1256.006237,
11.5,1264.361788,
11,1273.485031,
10.5,1283.486777,
10,1294.500226,
9.75,1300.435512,
9.5,1306.686913,
9.25,1313.280352,
9,1320.244658,
8.75,1327.611994,
8.5,1335.418347,
8.25,1343.704114,
8,1352.514798,
7.75,1361.901842,
7.5,1371.923628,
7.25,1382.646682,
7,1394.147152,
6.75,1406.5126,
6.5,1419.844225,
6.25,1434.259618,
6,1449.896212,
5.75,1466.915642,
5.5,1485.509301,
5.25,1505.905495,
5,1528.378765,
4.9,1538.021947,
4.8,1548.074327,
4.7,1558.562412,
4.6,1569.515041,
4.5,1580.963645,
4.4,1592.942542,
4.3,1605.489277,
4.2,1618.645005,
4.1,1632.454938,
4,1646.968851,
3.9,1662.241669,
3.8,1678.334149,
3.7,1695.313671,
3.6,1713.255153,
3.5,1732.242135,
3.4,1752.36804,
3.3,1773.737672,
3.2,1796.468984,
3.1,1820.695192,
3,1846.567291,
2.9,1874.2571,
2.8,1903.960925,
2.7,1935.904035,
2.6,1970.346119,
2.5,2007.588025,
2.4,2047.9801,
2.3,2091.932617,
2.2,2139.928879,
2.1,2192.541838,
2,2250.455338,
1.9,2314.491483,
1.8,2385.646243,
1.7,2465.136143,
1.6,2554.460078,
1.5,2655.481824,
1.4,2770.541062,
1.3,2902.603656,
1.2,3055.465689,
1.1,3234.029712,
1,3444.673698,
0.975,3503.272543,
0.95,3564.537214,
0.925,3628.630661,
0.9,3695.726845,
0.875,3766.011309,
0.85,3839.681704,
0.825,3916.948245,
0.8,3998.034068,
0.775,4083.175432,
0.75,4172.621719,
0.725,4266.635162,
0.7,4365.490214,
0.675,4469.472455,
0.65,4578.876925,
0.625,4694.005724,
0.6,4815.164749,
0.575,4942.659356,
0.55,5076.788805,
0.525,5217.839266,
0.5,5366.075265,
0.4831,5843.065386,
0.4334,6553.132429,
0.3929,7309.868068,
0.3595,8106.178494,
0.3184,9393.975853,
0.2867,10718.80517,
0.2522,12636.87633,
0.22,15059.6736,
0.1859,18553.01179,
0.1575,22355.84717,
0.1247,27517.32484,
0.1121,29506.40205,
0.1008,31195.01475,
0.0944,32095.24048,
0.0868,33103.80532,
0.0805,33887.6763,
0.0739,34657.6323,
0.0636,35756.98504,
0.0568,36417.85363,
0.0512,36925.83357,
0.0464,37336.68844,
0.0425,37654.69645,
0.0383,37982.10777,
0.0352,38214.20398,
0.0324,38417.14907,
0.0291,38648.4982,
0.0246,38950.92632,
0.0224,39093.53688,