Temperature (K),Voltage (V),This is the calibration for the diode on the Film Burner only. It is the same as DC 2021 until 40K.
320,0.483977,
310,0.505726,
300,0.5279,
290,0.550448,
280,0.573319,
270,0.596461,
260,0.619822,
250,0.64335,
240,0.666994,
230,0.690703,
220,0.714425,
210,0.738108,
200,0.7617,
195,0.773446,
190,0.78515,
185,0.796806,
180,0.808407,
175,0.819947,
170,0.831419,
165,0.842817,
160,0.854134,
155,0.865364,
150,0.8765,
145,0.887536,
140,0.898466,
135,0.909283,
130,0.919981,
125,0.930553,
120,0.940993,
115,0.951294,
110,0.96145,
105,0.971454,
100,0.9813,
95,0.990982,
90,1.000492,
85,1.009826,
80,1.018975,
75,1.027934,
70,1.036697,
65,1.045256,
60,1.053606,
58,1.056885,
56,1.06013,
54,1.063339,
52,1.066513,
50,1.06965,
48,1.072751,
46,1.075814,
44,1.07884,
42,1.081828,
40,1.0849199,
38,1.0879617,
36,1.0910333,
34,1.0941944,
32,1.0975208,
30,1.1011159,
29,1.1030604,
28,1.1051385,
27,1.1073894,
26,1.109869,
25,1.1126625,
24,1.1159096,
23,1.1198658,
22,1.125077,
21,1.1330251,
20,1.147885,
19,1.1658842,
18,1.1808154,
17,1.19557,
16,1.2125096,
15,1.2328807,
14.5,1.243973,
14,1.2553789,
13.5,1.267189,
13,1.2797399,
12.5,1.2934619,
12,1.3085512,
11.5,1.3245471,
11,1.3406952,
10.5,1.3569212,
10,1.3739879,
9.75,1.3832168,
9.5,1.3931054,
9.25,1.4036781,
9,1.4147378,
8.75,1.4259073,
8.5,1.4368798,
8.25,1.4476035,
8,1.4582534,
7.8,1.4669257,
7.6,1.4759415,
7.4,1.485494,
7.2,1.4956974,
7,1.5064357,
6.8,1.5172909,
6.6,1.5278019,
6.4,1.5377972,
6.2,1.547398,
6,1.5568571,
5.8,1.5664391,
5.6,1.5763058,
5.4,1.5863433,
5.2,1.5960979,
5,1.6051246,
4.9,1.6093255,
4.8,1.6133401,
4.7,1.6171982,
4.6,1.6209332,
4.5,1.624578,
4.4,1.6281638,
4.3,1.6317179,
4.2,1.6352628,
4.1,1.6388125,
4,1.6423698,
3.9,1.6459217,
3.8,1.6494378,
3.7,1.652874,
3.6,1.6561838,
3.5,1.6593308,
3.4,1.6622973,
3.3,1.6650844,
3.2,1.6677069,
3.1,1.6701873,
3,1.6725509,
2.9,1.674824,
2.8,1.6770319,
2.7,1.6791994,
2.6,1.6813497,
2.5,1.6835043,
2.4,1.6856796,
2.3,1.6878802,
2.2,1.6900849,
2.1,1.6922329,
2,1.6942312,
1.95,1.6951473,
1.9,1.696,
1.85,1.6967882,
1.8,1.6975137,
1.75,1.6981805,
1.7,1.6987938,
1.65,1.6993587,
1.6,1.6998807,
1.55,1.7003643,
1.5,1.700814,
1.45,1.7012336,
1.4,1.7016263,
1.35,1.7019951,
1.3,1.7023425,
1.25,1.7026706,
1.2,1.7029814,
1.15,1.7032765,
1.1,1.7035573,
1.05,1.7038251,
1,1.7040811,
0.98,1.7041804,
0.96,1.704278,
0.94,1.704374,
0.92,1.7044684,
0.9,1.7045613,
0.88,1.7046527,
0.86,1.7047426,
0.84,1.7048312,
0.82,1.7049185,
0.8,1.7050044,